tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010422902,06001422902,G0600010422900,06001422900,1,1,1,1,1,1,1,1
G0600010423000,06001423000,G0600010423000,06001423000,1,1,1,1,1,1,1,1
G0600010423100,06001423100,G0600010423100,06001423100,1,1,1,1,1,1,1,1
G0600010423200,06001423200,G0600010423200,06001423200,1,1,1,1,1,1,1,1
G0600010423300,06001423300,G0600010423300,06001423300,1,1,1,1,1,1,1,1
G0600010423400,06001423400,G0600010423400,06001423400,1,1,1,1,1,1,1,1
G0600010423500,06001423500,G0600010423500,06001423500,1,1,1,1,1,1,1,1
G0600010423601,06001423601,G0600010423601,06001423601,1,1,1,1,1,1,1,1
G0600010423602,06001423602,G0600010423602,06001423602,1,1,1,1,1,1,1,1
G0600010423700,06001423700,G0600010400100,06001400100,0.0060313879,0.0000641951,0.0000515906,0.0000556419,0.0000657862,0.0000767233,0.0000095973,0.0000942956
G0600010423700,06001423700,G0600010423700,06001423700,0.9939686121,0.9999358049,0.9999484094,0.9999443581,0.9999342138,0.9999232767,0.9999904027,0.9999057044
G0600010423800,06001423800,G0600010400100,06001400100,0.0129811823,0.009449838,0.0095105397,0.0093692252,0.0068055574,0.0067576881,0.0087222614,0.0016060433
G0600010423800,06001423800,G0600010400200,06001400200,0.007253458,0.0106515506,0.0099723305,0.0103995492,0.0092498918,0.0095105758,0.0096510296,0.0081617102
G0600010423800,06001423800,G0600010400400,06001400400,0.0008269385,0.0058696322,0.0040828439,0,0.00114822,0.0010856187,0.0015714899,0
G0600010423800,06001423800,G0600010404300,06001404300,0.0088160675,0.002928728,0.0030541088,0.0040903807,0.0029218335,0.0027625341,0.003998913,0
G0600010423800,06001423800,G0600010423800,06001423800,0.958287085,0.930017147,0.9300028801,0.9565555914,0.9357672429,0.9319698921,0.969635788,0.8438907831
G0600010423800,06001423800,G0600010423902,06001423902,0.0118352687,0.0410831041,0.043377297,0.0195852535,0.0441072544,0.0479136912,0.006420518,0.1463414634
G0600010423901,06001423901,G0600010400500,06001400500,0.0047377507,0.0094647895,0.009351259,0.011385933,0.0103310503,0.0112352687,0.0038010557,0.0137302256
G0600010423901,06001423901,G0600010400700,06001400700,0.0022560717,0.0008216411,0.0007197038,0.0014046744,0.0011745166,0.0010864278,0.0027446598,0.0003571818
