,medhinc23,medhval23,medrent23,totpop23,GEOID,totpop19,medhval19,medrent19,medhinc19,GENTRIFICATION
396,46250.0,409100.0,1599.0,4439,06073014400,4412.0,340700.0,1264.0,34882.0,0.028122912540107334
397,81058.0,703600.0,1950.0,4019,06073014500,3880.0,463100.0,1447.0,67946.0,-0.018579635176706882
398,71667.0,687800.0,1520.0,4899,06073014601,4854.0,523700.0,1182.0,46145.0,0.004274042246016324
399,126628.0,922900.0,2384.0,5300,06073014602,5445.0,635400.0,1637.0,92375.0,-0.05142424384993806
400,97788.0,676200.0,1711.0,3698,06073014701,4026.0,506300.0,1514.0,73459.0,0.08112566696213214
401,115790.0,714100.0,2325.0,4251,06073014702,4106.0,508126.0,1514.0,72701.0,-0.10796541068387909
402,72500.0,661400.0,1898.0,4464,06073014803,4818.0,549400.0,1559.0,56484.0,0.07970555036243682
403,82625.0,816500.0,1767.0,4281,06073014804,4111.0,465500.0,1277.0,56865.0,-0.08857510603233909
404,94479.0,606000.0,2232.0,5170,06073014805,4358.0,367809.0,1699.0,65434.0,-0.09957262392214998
405,64075.0,493300.0,1678.0,3166,06073014806,2778.0,362500.0,1218.0,52461.0,0.01231534222211169
406,82240.0,876500.0,2130.0,4854,06073014901,4086.0,681700.0,1577.0,54989.0,-0.06018563623240608
407,72500.0,761700.0,1583.0,3004,06073014902,3176.0,493300.0,1210.0,70357.0,0.04571010583087674
408,79883.0,740400.0,2198.0,4466,06073015001,4968.0,559900.0,1830.0,59862.0,0.06344066594630549
409,59313.0,552400.0,2384.0,2876,06073015002,2360.0,559900.0,1830.0,59862.0,0.12475117845769987
410,99000.0,659500.0,2223.0,4937,06073015100,4879.0,525733.0,1823.0,79363.0,0.06295362267850414
411,154196.0,1055100.0,,3955,06073015200,3773.0,688100.0,2515.0,119211.0,
412,61282.0,603400.0,1935.0,3591,06073015301,3560.0,414000.0,1315.0,59643.0,-0.004569722239594759
413,115575.0,754200.0,2187.0,4448,06073015302,4477.0,571100.0,2142.0,107443.0,0.13972759642525495
414,156635.0,1036000.0,2281.0,2700,06073015403,2619.0,746800.0,1865.0,129318.0,0.04192461169650111
415,137048.0,814900.0,1760.0,5653,06073015405,5569.0,593700.0,1527.0,108636.0,0.052543753241928184
416,153583.0,978400.0,2712.0,2628,06073015406,2468.0,784100.0,2228.0,142847.0,0.05204447003080259
417,46267.0,599000.0,1895.0,3627,06073015407,4267.0,472900.0,1420.0,62316.0,0.13925840517004007
418,99673.0,705800.0,2069.0,4107,06073015408,3564.0,472900.0,1420.0,62316.0,-0.12283593254607109
419,111364.0,669000.0,1625.0,5591,06073015501,5180.0,441700.0,1624.0,84013.0,0.03447900007419899
420,127120.0,750000.0,3501.0,3033,06073015502,2893.0,580959.0,1745.0,102712.0,-0.08051191735079957
421,63974.0,547700.0,1758.0,5912,06073015601,6043.0,384900.0,1238.0,65078.0,0.04834004468799641
422,152917.0,913200.0,,2756,06073015602,2432.0,637900.0,2266.0,114306.0,
423,42750.0,,1689.0,6362,06073015701,5966.0,18100.0,1211.0,37781.0,
424,47750.0,385500.0,1913.0,4730,06073015704,3936.0,342000.0,1363.0,50580.0,-0.028563052248594574
425,60256.0,,1835.0,4270,06073015705,4572.0,64400.0,1244.0,27004.0,
426,33640.0,79000.0,1724.0,2551,06073015706,2574.0,64400.0,1244.0,27004.0,0.007753441682789623
427,52212.0,493400.0,1630.0,3657,06073015801,3544.0,400000.0,1183.0,36625.0,0.023545381573460138
428,62292.0,620700.0,1830.0,4276,06073015802,4877.0,365100.0,1365.0,54830.0,0.007411732065989284
429,45690.0,,1677.0,3751,06073015901,4037.0,0.0,1314.0,42348.0,
430,45921.0,595300.0,1722.0,5435,06073015902,5178.0,430300.0,1227.0,53458.0,0.04110713770967395
431,100547.0,851800.0,1747.0,2365,06073016000,2284.0,566133.0,1383.0,75903.0,-0.004807666150957984
