,statefp,countyfp,tractce,blkgrpce,TOTPOP_C_1,TOTPOP_F_1,MEDVAL_C_1,MEDVAL_F_1,MEDHINC__1,MEDHINC__2,MEDCRNT_CY,MEDCRNT_FY,GENTRIFICATION
1361,06,073,017403,2,1284,1257,1747685,1781369,197781,233293,3087,3167,-0.03038674033149172
1362,06,073,017403,3,1143,1168,1676630,1930556,213628,233780,1873,1946,-0.00805709023941064
1363,06,073,017501,3,1128,1105,1854412,1819124,180439,202844,3501,3501,-0.01588397790055246
1364,06,073,017502,1,1049,1059,1689474,1767308,152090,163697,2362,3146,0.03965239410681395
1365,06,073,017502,2,1190,1159,1347973,1961538,131467,164713,2308,3149,0.07481583793738489
1366,06,073,017501,2,1025,1021,2000001,2000001,131051,143233,3140,3281,-0.013639502762430908
1367,06,073,019405,2,1134,1191,562500,717262,77458,84955,2185,2267,0.020488029465930008
1368,06,073,019405,3,1638,1606,629464,678571,77612,84484,2209,2276,-0.05668738489871086
1369,06,073,019406,1,1121,1094,657759,819010,82555,91707,2708,2722,-0.03406998158379375
1370,06,073,019501,1,1973,1905,453846,668750,76313,80324,1904,2155,0.010244014732965018
1371,06,073,019501,2,1686,1636,837379,873984,101947,111744,2205,2539,-0.04212707182320441
1372,06,073,019502,1,2210,2172,607955,704268,44545,47383,1816,1987,-0.0020142725598526687
1373,06,073,019502,2,2126,2322,563830,615385,84132,97495,1942,2625,0.04373848987108657
1374,06,073,020023,1,2817,2902,821475,895530,114765,132626,2765,3078,-0.010071362799263406
1375,06,073,020024,1,1892,1871,667453,692274,60372,71897,2224,2249,-0.07941988950276245
1376,06,073,020024,3,1146,1119,818262,885736,116143,130929,2485,2600,-0.044141344383057085
1377,06,073,018515,1,729,706,962702,967480,174974,198576,2397,2481,-0.07965009208103133
1378,06,073,018517,1,1213,1249,710090,713450,114650,119507,2456,2635,-0.07193830570902394
1379,06,073,018517,2,1119,1118,446087,617299,85334,92792,2103,2167,-0.020142725598526715
1380,06,073,018518,1,1397,1362,672710,828416,92038,104517,2234,2314,-0.030501841620626136
1381,06,073,018518,2,1622,1578,693080,871324,145656,167418,2005,2440,0.04914825046040518
1382,06,073,019502,3,1371,1334,660000,848214,69931,84725,1937,2269,0.02779696132596686
1383,06,073,019503,1,2224,2247,140000,163542,76187,84536,2184,2634,0.020833333333333343
1384,06,073,020025,1,1800,1762,827679,939655,91120,106493,1953,2164,0.036256906077348064
1385,06,073,020025,2,1387,1413,696809,1021382,105907,115447,2680,2773,0.12758977900552487
1386,06,073,020025,3,1762,1714,670302,708042,81939,100966,2223,2373,-0.053234346224677695
1387,06,073,018519,1,1524,1478,632812,652907,96355,117343,2038,2165,-0.06767955801104973
1388,06,073,018519,2,1148,1132,929688,1343750,91061,114162,2300,2310,0.034933241252302044
1389,06,073,018601,1,1329,1315,818713,875000,115876,123444,2278,2326,-0.05697513812154696
1390,06,073,019206,3,1174,1150,664062,740566,121617,127424,2140,2709,0.023538213627992632
1391,06,073,019602,1,1413,1443,768421,868285,139192,161358,2221,2257,-0.02912062615101292
1392,06,073,020105,1,1317,1288,766355,872984,114303,129034,3267,3250,-0.020315377532228368
